Period,From date,To date,Geographic area,Age group,Male Cases,Male Rate,Female Cases,Female Rate,Total Cases,Total Rate,Male Hospitalizations,Male Hospitalizations Rate,Female Hospitalizations,Female Hospitalizations Rate,Total Hospitalizations Count,Total Hospitalizations Rate,Unknown Sex Hospitalizations,Unknown Sex Cases,Unknown Age and Sex Hospitalizations,Unknown Age and Sex Cases
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ontario,0 to 4,16,4.4,18,5.2,34,4.8,0,0,1,0.3,1,0.1,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ontario,12 to 19,5,0.7,8,1.3,13,1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ontario,20 to 39,12,0.6,35,1.7,47,1.1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ontario,40 to 59,15,0.8,34,1.7,49,1.3,1,0.1,0,0,1,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ontario,5 to 11,1,0.2,1,0.2,2,0.2,1,0.2,0,0,1,0.1,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ontario,60 to 79,72,5,75,4.8,147,4.9,8,0.6,7,0.4,15,0.5,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ontario,80+,81,29.8,137,34,218,32.3,12,4.4,8,2,20,3,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ontario,All ages,202,2.8,309,4.1,511,3.4,22,0.3,16,0.2,38,0.3,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Algoma Public Health,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Algoma Public Health,12 to 19,0,0,1,22.5,1,11.1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Algoma Public Health,20 to 39,1,7.4,0,0,1,3.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Algoma Public Health,40 to 59,0,0,1,6.9,1,3.5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Algoma Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Algoma Public Health,60 to 79,2,12.5,2,11.8,4,12.1,0,0,1,5.9,1,3,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Algoma Public Health,80+,0,0,2,44.3,2,25.1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Algoma Public Health,All ages,3,5.2,6,10.1,9,7.7,0,0,1,1.7,1,0.9,0,0,0,0
